JobTitle,Location,DatePosted
Assistant Manager - Technology Services,"Noida, IN, 0","Mar6, 2022"
Associate Consultant - Analytics,"Noida, IN, 0","Mar6, 2022"
"Senior Manager, Marketing Insights & User Experience","Bridgewater, NJ, US, 8807+1more…","Mar5, 2022"
Associate Director - Private Capital,"Whippany, NJ, US, 7981","Mar5, 2022"
Investments Data Management Analyst II,"Whippany, NJ, US, 7981","Mar5, 2022"
Associate Director - Middle Market Debt Operations,"Whippany, NJ, US, 7981","Mar5, 2022"
Associate - Private Capital,"Whippany, NJ, US, 7981","Mar5, 2022"
Communication Strategist,"Whippany, NJ, US, 7981","Mar5, 2022"
Insurance Sales,"Brighton, GB+1more…","Mar5, 2022"
IT Audit Manager - Investments,"Bridgewater, NJ, US, 8807","Mar4, 2022"
Software Development Engineer (Open Pages),"Cary, NC, US, 27513","Mar4, 2022"
Sr. Software Development Engineer (Open Pages),"Cary, NC, US, 27513","Mar4, 2022"
Lead Consultant - Operational Risk Management,"NewYork, NY, US, 10166+2more…","Mar4, 2022"
VP Infrastructure Enablement,"Cary, NC, US, 27513","Mar4, 2022"
Market Risk Analyst,"Whippany, NJ, US, 7981+2more…","Mar4, 2022"
"Actuarial Assistant, Actuarial Development Program","Bridgewater, NJ, US, 8807","Mar4, 2022"
Unit Manager - Technology Services,"Noida, IN, 0","Mar4, 2022"
Specialist,"Noida, IN, 0","Mar4, 2022"
Lead Software Development Engineer,"Cary, NC, US, 27513+1more…","Mar4, 2022"
"Director of Administration, Retirement and Income Solutions Operations","Tampa, FL, US, 33647","Mar4, 2022"
Senior Life Claims Examiner,"Bridgewater, NJ, US, 8807","Mar4, 2022"
Director - Application Development: Pet Insurance,"Cary, NC, US, 27513","Mar4, 2022"
Team Manager,"Brighton, GB+2more…","Mar4, 2022"
Corporate Counsel - Investments Law,"SanFrancisco, CA, US, 94105+1more…","Mar4, 2022"
Financial Consultant II - Large Accounts,"Aurora, IL, US, 60504","Mar4, 2022"
Associate - Global Economic & Market Strategy,"Whippany, NJ, US, 7981","Mar4, 2022"
Software Test Engineer,"Cary, NC, US, 27513","Mar4, 2022"
Specialist-Data & App Support,"Noida, IN, 0","Mar3, 2022"
Lead Administrator,"Tampa, FL, US, 33647","Mar3, 2022"
Team Leader - Data & App Support,"Noida, IN, 0","Mar3, 2022"
Actuarial Associate - Actuarial Development Program,"NewYork, NY, US, 10166","Mar3, 2022"
"Senior Network Engineer - Cloud, Security / Firewalls, LoadBalancing","Cary, NC, US, 27513","Mar3, 2022"
Senior Debt Analyst - Real Estate Investments,"Whippany, NJ, US, 7981","Mar3, 2022"
"Analyst, IT Category Management - Global Procurement","St.Louis, MO, US, 11330+1more…","Mar3, 2022"
"Sr. Analyst, Category Management & Sourcing","Cary, NC, US, 27513","Mar3, 2022"
Senior Auditor,"Warwick, RI, US, 2886+1more…","Mar3, 2022"
Unit Manager - Technology Services,"Noida, IN, 0","Mar3, 2022"
"Director, Lead Global Strategic Insights","NewYork, NY, US, 10166","Mar3, 2022"
Sr. Associate- Testing,"Noida, IN, 0","Mar3, 2022"
Executive Assistant,"Cary, NC, US, 27513","Mar3, 2022"
Anti-Financial Crimes Compliance Specialist,"NewYork, NY, US, 10166","Mar2, 2022"
Senior Derivatives Analyst,"Whippany, NJ, US, 7981","Mar2, 2022"
Director Compliance,"Bridgewater, NJ, US, 8807+1more…","Mar2, 2022"
"Customer Value, Project Management Team, Analyst, GG10","Tokyo, JP","Mar2, 2022"
Implementation Specialist,"Alpharetta, GA, US, 30009","Mar2, 2022"
Director Cloud Security - Information Security (Open to remote),"Remote, US, 0","Mar2, 2022"
Privacy Compliance Officer,"Cary, NC, US, 27513+2more…","Mar2, 2022"
Senior Data Governance Specialist,"Whippany, NJ, US, 7981","Mar2, 2022"
Finance Director,"NewYork, NY, US, 10166","Mar2, 2022"
Senior Employee Relations Consultant,"Tampa, FL, US, 33647","Mar2, 2022"
Senior Contract Development Analyst,"Wilmington, DE, US, 19801","Mar2, 2022"
Corporate Counsel,"NewYork, NY, US, 10166","Mar2, 2022"
Investments Auditor II,"Whippany, NJ, US, 7981","Mar2, 2022"
Service Catalog & Request Process Owner - ServiceNow,"Cary, NC, US, 27513","Mar2, 2022"
"Global Head of Product Strategy, MetLife Investment Management","Whippany, NJ, US, 7981","Mar1, 2022"
Data Engineer,"Whippany, NJ, US, 7981","Mar1, 2022"
Senior Auditor II,"Tampa, FL, US, 33647+3more…","Mar1, 2022"
Implementation Leader II,"Aurora, IL, US, 60504","Mar1, 2022"
Implementation Leader III,"Aurora, IL, US, 60504","Mar1, 2022"
Lead Operational Risk Consultant,"NewYork, NY, US, 10166+3more…","Mar1, 2022"
Unit Manager - Facilities,"Noida, IN, 0","Mar1, 2022"
Senior Business Systems Analyst,"Galway, IE","Mar1, 2022"
Implementation Manager,"Aurora, IL, US, 60504","Mar1, 2022"
Senior Analyst - Investment Performance/Private Placements,"Whippany, NJ, US, 7981","Mar1, 2022"
Assistant Manager,"Noida, IN, 0","Mar1, 2022"
Director - Software Development Engineering,"Cary, NC, US, 27513","Mar1, 2022"
Operational Risk Lead - Controls,"Remote, US, 0+9more…","Mar1, 2022"
Sr. Security Analyst - Splunk,"Cary, NC, US, 27513","Mar1, 2022"
"Customer Care Advocate - Disability, Virtual Orkisany,NY- Omaha, NE, Dayton, OH- Warwick,RI $20/HR","Dayton, OH, US, 45448+2more…","Mar1, 2022"
Sr. DevOps Engineer,"Cary, NC, US, 27513","Feb28, 2022"
Technical Lead - Software Engineering,"Cary, NC, US, 27513","Feb28, 2022"
Senior Claims Administrator,"Tampa, FL, US, 33647+1more…","Feb28, 2022"
Principal Software Development Engineer in Test,"Cary, NC, US, 27513","Feb28, 2022"
Specialist-Technology Services,"Noida, IN, 0","Feb28, 2022"
Sr. Analyst - Middle-Office Operations and Client Reporting,"Whippany, NJ, US, 7981","Feb28, 2022"
Unit Manager - Data Governance & PMO,"Noida, IN, 0","Feb28, 2022"
Assistant Manager - Finance & Admin,"Noida, IN, 0","Feb28, 2022"
Senior Associate - Technology Services,"Noida, IN, 0","Feb28, 2022"
Planning Analyst,"Bridgewater, NJ, US, 8807","Feb28, 2022"
Counsel - Investments Law,"Whippany, NJ, US, 7981","Feb28, 2022"
Senior Financial Consultant - Large Accounts,"Aurora, IL, US, 60504","Feb27, 2022"
Controls Analyst,"Bloomfield, CT, US, 6002+13more…","Feb27, 2022"
Treasury Analyst (9 month FTC),"Dublin, IE","Feb26, 2022"
Sr. Analyst - Real Estate & Valuation Review,"Whippany, NJ, US, 7981","Feb26, 2022"
Group Health Actuary,"Bridgewater, NJ, US, 8807","Feb26, 2022"
Sr. Tax Accountant,"St.Louis, MO, US, 11330","Feb26, 2022"
IT Director - Security - Network & Firewall Security,"Cary, NC, US, 27513","Feb26, 2022"
Full Stack Data Engineer,"Cary, NC, US, 27513","Feb26, 2022"
Lead Full Stack Software Engineer,"Cary, NC, US, 27513","Feb26, 2022"
Lead Data Engineer,"Cary, NC, US, 27513+2more…","Feb26, 2022"
ITSM / IT Service Management Systems Specialist -ServiceNow,"Cary, NC, US, 27513","Feb26, 2022"
Analyst - Case Implementation,"Tampa, FL, US, 33647","Feb25, 2022"
Team Leader- Technology Services,"Noida, IN, 0","Feb25, 2022"
Director - Specialty Market Sales,"NewYork, NY, US, 10166+14more…","Feb25, 2022"
"Assistant Vice President, Group Benefits Compliance","NewYork, NY, US, 10166","Feb25, 2022"
Team Leader - Projects and Governance,"Noida, IN, 0","Feb25, 2022"
Senior Administrator,"Tampa, FL, US, 33647","Feb25, 2022"
Software Development Engineer II,"Cary, NC, US, 27513","Feb25, 2022"
"Director, Senior Mortgage Producer","SanFrancisco, CA, US, 94105","Feb25, 2022"
Senior/Lead HRIS Consultant,"Remote, US, 0","Feb25, 2022"
Senior Data Security & Data Governance Specialist,"Cary, NC, US, 27513","Feb25, 2022"
"AVP, Cloud Enablement","Cary, NC, US, 27513","Feb25, 2022"
Data Analytics Consultant,"KansasCity, MO, US, 64116+1more…","Feb25, 2022"
Senior IT Security Analyst - Risk & Controls,"Cary, NC, US, 27513","Feb25, 2022"
Lead Business Systems Analyst - HRIT / HRIS,"Cary, NC, US, 27513","Feb25, 2022"
Senior Software Development Engineer,"Cary, NC, US, 27513","Feb25, 2022"
Actuary,"NewYork, NY, US, 10166+1more…","Feb25, 2022"
Specialists-IT Operations,"Noida, IN, 0","Feb24, 2022"
Client Services Consultant II,"Bridgewater, NJ, US, 8807","Feb24, 2022"
Specialist,"Noida, IN, 0","Feb24, 2022"
Senior Technology Business Management (TBM) Analyst,"Cary, NC, US, 27513","Feb24, 2022"
Senior Legal Assistant,"NewYork, NY, US, 10166","Feb24, 2022"
IT Risk & Security Principal - Investments,"Whippany, NJ, US, 7981+1more…","Feb24, 2022"
Technology Liaison Analyst,"Tampa, FL, US, 33647+1more…","Feb24, 2022"
Data Protection Manager,"Dublin, IE","Feb24, 2022"
Correspondent I - Virtual,"Tampa, FL, US, 33647+1more…","Feb24, 2022"
Supervisor - Call Center - Virtual,"Omaha, NE, US, 68102+2more…","Feb24, 2022"
Unit Manager Operations,"Noida, IN, 0","Feb24, 2022"
Head of Public Fixed Income Compliance,"Philadelphia, PA, US, 19103","Feb23, 2022"
Legal Assistant,"NewYork, NY, US, 10166","Feb23, 2022"
Senior UAT Consultant,"Oriskany, NY, US, 13424+6more…","Feb23, 2022"
Actuarial Assistant - Actuarial Development Program,"St.Louis, MO, US, 11330","Feb23, 2022"
"Senior Manager, UX Researcher - Upwise","NewYork, NY, US, 10166","Feb23, 2022"
Mainframe Programmer,"Cary, NC, US, 27513","Feb23, 2022"
"Associate, Institutional Client Group","Whippany, NJ, US, 7981","Feb23, 2022"
Account Management Consultant,"Aurora, IL, US, 60504+1more…","Feb23, 2022"
Underwriting Consultant,"Charlotte, NC, US, 28277","Feb23, 2022"
Senior Supplier IT Sourcing Consultant,"Cary, NC, US, 27513","Feb23, 2022"
Senior Associate,"Noida, IN, 0","Feb14, 2022"
Senior Data Scientist,"Cary, NC, US, 27513+1more…","Jan25, 2022"
